sub,acq_IOS,dislike_IOS,close_IOS,self_percent_acq_overlap_negative,self_percent_acq_overlap_neutral,self_percent_acq_overlap_positive,self_percent_close_overlap_negative,self_percent_close_overlap_neutral,self_percent_close_overlap_positive,self_percent_dislike_overlap_negative,self_percent_dislike_overlap_neutral,self_percent_dislike_overlap_positive
1,3,1,6,0.5,0.571428571,0.411764706,0.5,0.428571429,0.823529412,0.25,0.142857143,0.058823529
2,1,1,4,0,0,0.25,1,0.857142857,0.821428571,0,0.285714286,0.035714286
3,3,7,4,0.444444444,0.636363636,0.705882353,0.333333333,0.363636364,0.941176471,0.222222222,0.454545455,0.352941176
4,1,1,3,0,0,0.333333333,0.333333333,0,0.5,0.666666667,0,0
5,3,5,2,0,0.083333333,0.259259259,0,0.166666667,0.444444444,0.3,0.166666667,0.037037037
6,5,3,6,0,0,0.625,0,0,0.75,0,0.25,0.125
7,3,3,7,NaN,0.285714286,0.615384615,NaN,0.571428571,0.230769231,NaN,0.428571429,0.692307692
9,1,1,3,0,0,0.153846154,0,0.666666667,0.307692308,0,0.333333333,0.076923077
10,3,3,7,0,0.285714286,0.4,0,0.142857143,0.666666667,0,0.142857143,0.2
12,3,3,7,0,0,0.181818182,0,0.181818182,0.454545455,0,0.090909091,0.136363636
13,3,1,4,0,0.4,0.5,0,0.4,0.666666667,0,0.2,0
14,1,1,4,0,0.333333333,0.80952381,0.333333333,0.666666667,0.666666667,0.333333333,0.666666667,0.333333333
15,1,3,4,0.25,0.3125,0.133333333,0,0.1875,0.666666667,0.75,0.125,0.266666667
16,1,5,4,0.133333333,0,0.130434783,0.266666667,0,0.434782609,0.4,0,0.043478261
17,NA,5,6,0.142857143,NaN,0.4,0.285714286,NaN,0.8,0.428571429,NaN,0.4
19,1,3,7,0,0.363636364,0.888888889,0.090909091,0.454545455,0.555555556,0.454545455,0.454545455,0.222222222
20,3,3,5,0,0,0.125,0,0.666666667,0.625,0.333333333,0.666666667,0
21,1,1,4,0,0,0.142857143,0.333333333,0.5,0.857142857,0.5,0,0.071428571
22,3,1,7,0,0.5,0.125,0,0.166666667,0.375,0,0.333333333,0
23,1,3,7,0.333333333,0.333333333,0.318181818,0.666666667,0.666666667,0.909090909,0.666666667,0.666666667,0.181818182
24,3,3,7,0,0,0.214285714,0,0,0.428571429,0,0,0.071428571
26,1,1,5,0,0,0.071428571,0,0.2,0.285714286,0.2,0.2,0.071428571
29,1,1,4,0,0,0.666666667,0.3,0.3125,0.619047619,0.5,0.375,0.142857143
31,3,1,6,0,0.142857143,0.304347826,0.4,0.285714286,0.52173913,0.4,0.571428571,0.130434783
32,3,1,7,0.2,0,0.173913043,0.4,0,0.260869565,0.2,0.1,0.130434783
33,1,1,7,0,0.117647059,0.1,0.25,0.117647059,0.433333333,0.25,0.058823529,0.033333333
34,5,1,4,0,0.25,0.421052632,0,0.25,0.684210526,0,0,0
35,3,1,2,0,0.230769231,0.785714286,0.285714286,0.307692308,0.428571429,0.142857143,0.076923077,0.142857143
37,1,1,2,0.066666667,0.071428571,0.2,0.266666667,0.642857143,0.966666667,0.733333333,0.428571429,0
41,1,NA,4,0,0.153846154,0.304347826,0.25,0.461538462,0.739130435,0.25,0.384615385,0.130434783
42,3,3,2,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
43,1,1,7,0,0,0.346153846,0.166666667,0.454545455,0.230769231,0.166666667,0.090909091,0.038461538
44,1,1,5,0,0,0.15,0.083333333,0,0.25,0.166666667,0.181818182,0
45,1,1,5,0,0.166666667,0.44,0,0.166666667,0.84,0,0,0
46,3,3,7,NaN,0,0.368421053,NaN,0,0.736842105,NaN,0.142857143,0
47,1,1,4,0,0,0.277777778,0.333333333,0.555555556,0.722222222,0.5,0.222222222,0.111111111
48,3,1,4,0,0,0.3125,0,0,0.3125,0,0.25,0.0625
49,7,1,3,0,0,0.75,0,0.25,0.125,1,0.25,0.125
50,3,5,4,0.2,0.111111111,0.466666667,0.2,0,0.6,0.7,0.111111111,0.333333333
51,1,1,7,0.6,0.3,0.458333333,0,0.3,0.5,0.2,0.3,0
52,3,5,1,0,0.181818182,0.444444444,0.428571429,0.363636364,0.259259259,0.142857143,0.181818182,0
53,1,1,7,0,0.2,0.642857143,0.333333333,0.6,0.785714286,0.333333333,0.2,0
54,3,1,2,0,0.333333333,0.6,1,0.666666667,0.6,0,0.666666667,0
55,3,1,5,0,0,0.444444444,0,0.5,0.555555556,0.5,0,0
57,1,1,4,0.125,0.181818182,0.5,0.375,0.181818182,0.666666667,0.625,0.272727273,0.166666667
58,5,1,2,0,0.285714286,0.739130435,0.142857143,0,0.695652174,0.142857143,0,0
59,3,1,4,0,0.666666667,0.25,0,0,0.75,1,0.333333333,0.25
60,3,3,4,0,0.4,0.571428571,0.142857143,0.2,0.714285714,0.857142857,0,0
61,1,1,3,0,0.5,0.739130435,0.5,0.5,0.782608696,0,0.166666667,0
62,1,1,2,0,0.2,0.206896552,0,0.2,0.793103448,0.666666667,0.2,0.137931034
64,1,1,3,0,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,0,0.166666667
65,1,1,2,NaN,0,0,NaN,0,0.714285714,NaN,0,0
66,7,5,6,0,0.333333333,0.636363636,0,0.333333333,0.863636364,0,0.333333333,0.318181818
71,5,NA,2,0.375,0.5625,0.666666667,0.625,0.4375,0.533333333,0.625,0.1875,0.133333333
72,5,3,2,0.333333333,0.5,0.380952381,0.333333333,0.5,0.523809524,0.666666667,0.5,0.095238095
73,3,5,4,0.25,0.5,0.444444444,0.75,0.375,0.777777778,0.5,0.375,0.111111111
74,1,1,5,0.4,0.363636364,0.588235294,0,0,0.529411765,0.4,0.272727273,0.117647059
76,1,1,3,0.1,0.4,0.066666667,0.2,0.333333333,0.733333333,0.3,0.533333333,0.666666667
77,1,1,4,0.5,0.416666667,0.375,0.142857143,0.25,0.8125,0.071428571,0.166666667,0.1875
78,3,1,7,0.166666667,0,0.476190476,0,0.333333333,0.761904762,0.5,0.5,0.333333333
83,3,1,6,0.5,0.9,0.611111111,0.5,0.1,0.666666667,0.666666667,0.4,0.111111111
84,1,1,2,0.714285714,0.227272727,0.148148148,0.5,0.363636364,0.518518519,0.5,0.181818182,0.259259259
85,1,1,7,0.571428571,0.15,0.25,0.285714286,0.45,0.6875,0.571428571,0.25,0.0625
87,5,5,4,0.5,0.166666667,0.777777778,0.25,0.333333333,0.777777778,0,0,0
88,5,3,4,0,0,0.25,0,0,0.375,0,0,0.125
90,1,3,6,0.25,0.666666667,0.333333333,0.5,0.166666667,0.6,0.5,0.333333333,0.266666667
91,1,3,4,0,0,0.45,0.428571429,0,0.6,0.428571429,0.4,0.05
92,3,3,4,0.5,0.333333333,0.4,0.5,0.333333333,0.9,0,0.333333333,0.3
94,7,3,4,0,0.428571429,0.52173913,0.25,0.142857143,0.652173913,0,0.285714286,0.217391304
95,1,1,5,0.666666667,0.285714286,0.380952381,0.333333333,0.285714286,0.666666667,0.666666667,0.285714286,0.380952381
96,1,3,7,0,0,0.347826087,0.25,0.058823529,0.391304348,0.625,0.352941176,0
97,1,1,7,0,0,0.269230769,0.333333333,0.461538462,0.653846154,1,0.692307692,0.115384615
